NumItems,ExecutionTimeMicroseconds
106910,110582
107010,100234
107110,122612
107210,113319
107310,110422
107410,119997
107510,116268
107610,102503
107710,114688
107810,108278
107910,118123
108010,120153
108110,117193
108210,127126
108310,111289
108410,111078
108510,118588
108610,93577
108710,128688
108810,99170
108910,104248
109010,109301
109110,107286
109210,106090
109310,102760
109410,105316
109510,101637
109610,119379
109710,111665
109810,129081
109910,110283
110010,129989
110110,128873
110210,118660
110310,119941
110410,112112
110510,126985
110610,131966
110710,122478
110810,126674
110910,130799
111010,123541
111110,132087
111210,128472
111310,120597
111410,100639
111510,125764
111610,119632
111710,112437
111810,128500
111910,126684
112010,126696
112110,132709
112210,125219
112310,126241
112410,131211
112510,108591
112610,109032
112710,124986
112810,132027
112910,127213
113010,119056
113110,105785
113210,124785
113310,116917
113410,113003
113510,125474
113610,126860
113710,121636
113810,134834
113910,130749
114010,132279
114110,136671
114210,124878
114310,130730
114410,97592
114510,118711
114610,126454
114710,122085
114810,122905
114910,131927
115010,115441
115110,96296
115210,110610
115310,126746
115410,132625
115510,122106
115610,108280
115710,123504
115810,124591
115910,91651
116010,88969
116110,125919
116210,123585
116310,116200
116410,101714
116510,100175
116610,114012
116710,106544
116810,112468
116910,103231
117010,112982
117110,102542
117210,95318
117310,111060
117410,106130
117510,111183
117610,95795
117710,121419
117810,115562
117910,117018
118010,123409
118110,122507
118210,135623
118310,123988
118410,113180
118510,148447
118610,135086
118710,107271
118810,118021
118910,128642
119010,61755
119110,126226
119210,129415
119310,110317
119410,111062
119510,127044
119610,121144
119710,101014
119810,118971
119910,110930
120010,106193
120110,109444
120210,113002
120310,98771
120410,110547
120510,112732
120610,111354
120710,110863
120810,111597
120910,96224
121010,125557
121110,124452
121210,125807
121310,134952
121410,137222
121510,120735
121610,127434
121710,146108
121810,105411
121910,129130
122010,136255
122110,123439
122210,110879
122310,110692
122410,124617
122510,111682
122610,112195
122710,110107
122810,128901
122910,131657
123010,124936
123110,123983
123210,136809
123310,111249
123410,125474
123510,135391
123610,121057
123710,117524
123810,116339
123910,145586
124010,164120
124110,121894
124210,124690
124310,109586
124410,138661
124510,134989
124610,137343
124710,140496
124810,146660
124910,140455
125010,108086
125110,136966
125210,139798
125310,133693
125410,141066
125510,135931
125610,132385
125710,122894
125810,135797
125910,130169
126010,139789
126110,143260
126210,135508
126310,139463
126410,127459
126510,144382
126610,134948
126710,139253
126810,148292
126910,131771
127010,134154
127110,138174
127210,142376
127310,142838
127410,131771
127510,139760
127610,143757
127710,130465
127810,137096
127910,132041
128010,146472
128110,147309
128210,141107
128310,126418
128410,123125
128510,135887
128610,143155
128710,135951
128810,146835
128910,137576
129010,138640
129110,139346
129210,147602
129310,140158
129410,145184
129510,136688
129610,147729
129710,145075
129810,129718
129910,134632
130010,141963
130110,138154
130210,145473
130310,140115
130410,144780
130510,143976
130610,147957
130710,142870
130810,151310
130910,147724
131010,141466
131110,148584
131210,144621
131310,140298
131410,150082
131510,148451
131610,143797
131710,145259
131810,167133
131910,143863
132010,141797
132110,143324
132210,136045
132310,134923
132410,150063
132510,143876
132610,154095
132710,145542
132810,141290
132910,147162
133010,155623
133110,150632
133210,144401
133310,138449
133410,147510
133510,151867
133610,142313
133710,141241
133810,146411
133910,153519
134010,140398
134110,148206
134210,156191
134310,141192
134410,142213
134510,164402
134610,141974
134710,163752
134810,177507
134910,124341
135010,153538
135110,145519
135210,143574
135310,163024
135410,148663
135510,156143
135610,171083
135710,148565
135810,155114
135910,150109
136010,161415
136110,148440
136210,129752
136310,160396
136410,142942
136510,154004
136610,146753
136710,149472
136810,153806
136910,146266
137010,155933
137110,151321
137210,144766
137310,148258
137410,156222
137510,151886
137610,147515
137710,127608
137810,126894
137910,124470
138010,127956
138110,124918
138210,127973
138310,137104
138410,156712
138510,125457
138610,133535
138710,128226
138810,129582
138910,114763
139010,126246
139110,121470
139210,129516
139310,148182
139410,128408
139510,134197
139610,128327
139710,113387
139810,128264
139910,128240
140010,124368
140110,112865
140210,128259
140310,128358
140410,148885
140510,139264
140610,128005
140710,127724
140810,126560
140910,127977
141010,128498
141110,126304
141210,113617
141310,132420
141410,143477
141510,138383
141610,126212
141710,132464
141810,128477
141910,115193
142010,128229
142110,144678
142210,133542
142310,122355
142410,135229
142510,137793
142610,140222
142710,118078
142810,137494
142910,113092
143010,127878
143110,141321
143210,132930
143310,123505
143410,133775
143510,125932
143610,140752
143710,134184
143810,129560
143910,130441
144010,122065
144110,136057
144210,129464
144310,136199
144410,132691
144510,122694
144610,129792
144710,133203
144810,130185
144910,128042
145010,120331
145110,129054
145210,128275
145310,148201
145410,142077
145510,129832
145610,129257
145710,134161
145810,125100
145910,128699
146010,142206
146110,121155
146210,137281
146310,141280
146410,149282
146510,120995
146610,138141
146710,136143
146810,133504
146910,128896
147010,138878
147110,147082
147210,130338
147310,160216
147410,138867
147510,133036
147610,133430
147710,131973
147810,149860
147910,126495
148010,139889
148110,138294
148210,131671
148310,150140
148410,136090
148510,133560
148610,145361
148710,150161
148810,142587
148910,142432
149010,142108
149110,125193
149210,146041
149310,128395
149410,149492
149510,130191
149610,144477
149710,148290
149810,129659
149910,128035
150010,144468
150110,139340
150210,128538
150310,128272
150410,144295
150510,149951
150610,144255
150710,144161
150810,149192
150910,123296
151010,138958
151110,129217
151210,138740
151310,148941
151410,126182
151510,153302
151610,128391
151710,141004
151810,149004
151910,135200
152010,138436
152110,132324
152210,148610
152310,145078
152410,143537
152510,136771
152610,152050
152710,131187
152810,130631
152910,152683
153010,133843
153110,138260
153210,164415
153310,150701
153410,144966
153510,144280
153610,140333
153710,130946
153810,143397
153910,144516
154010,133616
154110,134033
154210,144320
154310,128237
154410,152046
154510,150560
154610,143276
154710,139282
154810,149085
154910,130800
155010,134951
155110,150192
155210,128100
155310,152835
155410,149546
155510,145493
155610,150647
155710,147438
155810,147551
155910,137463
156010,143818
156110,148387
156210,138245
156310,144410
156410,143658
156510,150007
156610,136509
156710,134327
156810,147242
156910,140633
157010,144189
157110,144299
157210,147891
157310,133892
157410,135321
157510,144484
157610,155497
157710,148288
157810,159952
157910,155889
158010,142541
158110,146235
158210,161035
158310,141207
158410,135849
158510,162753
158610,127707
158710,145081
158810,144306
158910,154171
159010,141447
159110,142488
159210,151050
159310,144260
159410,144353
159510,135729
159610,144724
159710,136885
159810,154281
159910,163307
160010,144208
160110,153982
160210,150129
160310,134875
160410,152578
160510,160142
160610,142980
160710,145456
160810,144242
160910,154337
161010,166264
161110,146950
161210,152825
161310,149981
161410,152873
161510,153164
161610,153365
161710,165055
161810,150062
161910,159755
162010,177045
162110,157004
162210,155139
162310,150981
162410,158696
162510,157642
162610,161957
162710,153915
162810,158752
162910,150877
163010,171761
163110,152524
163210,152347
163310,155744
163410,150163
163510,159438
163610,166185
163710,160558
163810,156714
163910,157215
164010,151465
164110,152602
164210,151184
164310,153448
164410,154961
164510,166768
164610,169336
164710,151722
164810,155035
164910,164129
165010,155787
165110,158936
165210,164434
165310,161780
165410,169373
165510,172375
165610,169627
165710,164794
165810,171425
165910,158858
166010,154719
166110,163615
166210,157676
166310,161316
166410,163762
166510,179527
166610,163242
166710,165217
166810,159856
166910,166763
167010,155848
167110,157093
167210,168690
167310,167054
167410,166214
167510,165887
167610,164385
167710,173285
167810,167060
167910,157293
168010,167673
168110,172168
168210,166683
168310,163303
168410,161177
168510,167201
168610,160048
168710,165086
168810,158933
168910,160125
169010,169618
169110,166149
169210,179703
169310,160292
169410,172198
169510,166350
169610,173537
169710,164523
169810,155213
169910,159520
170010,166914
170110,165193
170210,158839
170310,175033
170410,158067
170510,148430
170610,152293
170710,165034
170810,163733
170910,160441
171010,157969
171110,159617
171210,155230
171310,171928
171410,164715
171510,159280
171610,166641
171710,157047
171810,159089
171910,178268
172010,164558
172110,162117
172210,170181
172310,153455
172410,174194
172510,168629
172610,164193
172710,163068
172810,167612
172910,171553
173010,166492
173110,157403
173210,184944
173310,180428
173410,187741
173510,164914
173610,169056
173710,173300
173810,163627
173910,176862
174010,178250
174110,154310
174210,160925
174310,164781
174410,156822
174510,164025
174610,166937
174710,165714
174810,158272
174910,172278
175010,164109
175110,182614
175210,175726
175310,166708
175410,168891
175510,163005
175610,165655
175710,166018
175810,173961
175910,165669
176010,166258
176110,158718
176210,192569
176310,179279
176410,164990
176510,159448
176610,164408
176710,173031
176810,175258
176910,173144
177010,164696
177110,184286
177210,178908
177310,176443
177410,172633
177510,168865
177610,164357
177710,182269
177810,165101
177910,177802
178010,179191
178110,175623
178210,197297
178310,177321
178410,155304
178510,155689
178610,166516
178710,162453
178810,168850
178910,152073
179010,203954
179110,188945
179210,173678
179310,220133
179410,165082
179510,173522
179610,161461
179710,163563
179810,172219
179910,204158
180010,189954
180110,165345
180210,168836
180310,176962
180410,176262
180510,192174
180610,178021
180710,167007
180810,186537
180910,183421
181010,172060
181110,178963
181210,188606
181310,174416
181410,176699
181510,177448
181610,187898
181710,182863
181810,176430
181910,181269
182010,186583
182110,172505
182210,183682
182310,175880
182410,176028
182510,170215
182610,222197
182710,174379
182810,173429
182910,191487
183010,192086
183110,172332
183210,180404
183310,174772
183410,181156
183510,174875
183610,166149
183710,175195
183810,193883
183910,163405
184010,175625
184110,171012
184210,187306
184310,185366
184410,170714
184510,169237
184610,185603
184710,184530
184810,166778
184910,188891
185010,189047
185110,190675
185210,179144
185310,172441
185410,183309
185510,178435
185610,176853
185710,189827
185810,185382
185910,197265
186010,184780
186110,182389
186210,169866
186310,174354
186410,174457
186510,167152
186610,171085
186710,221941
186810,189523
186910,193490
187010,185407
187110,172994
187210,181656
187310,184160
187410,190727
187510,197611
187610,174466
187710,174820
187810,162147
187910,193008
188010,181299
188110,175379
188210,182310
188310,187909
188410,186491
188510,189503
188610,172996
188710,177613
188810,168056
188910,175220
189010,168011
189110,163979
189210,176927
189310,170334
189410,177585
189510,176097
189610,174221
189710,173252
189810,192595
189910,182170
190010,157720
190110,176842
190210,210321
190310,210619
190410,204663
190510,213178
190610,191182
190710,218137
190810,212587
190910,224334
191010,192390
191110,220320
191210,191473
191310,213347
191410,213120
191510,216187
191610,233918
191710,213704
191810,221609
191910,235566
192010,214067
192110,224321
192210,204596
192310,191956
192410,208133
192510,206914
192610,216955
192710,228201
192810,214821
192910,187309
193010,206782
193110,194378
193210,186869
193310,204121
193410,229662
193510,193526
193610,216047
193710,211472
193810,215196
193910,216402
194010,224183
194110,231258
194210,209280
194310,204492
194410,228904
194510,209974
194610,226833
194710,222584
194810,202813
194910,191661
195010,231460
195110,230374
195210,218968
195310,207502
195410,224746
195510,235958
195610,230680
195710,216856
195810,244474
195910,206230
196010,217507
196110,205271
196210,196881
196310,205296
196410,197680
196510,191610
196610,207025
196710,210789
196810,209781
196910,216486
197010,219886
197110,205831
197210,235952
197310,216752
197410,223457
197510,213911
197610,222325
197710,229387
197810,239432
197910,209723
198010,214667
198110,225703
198210,217409
198310,204457
198410,199230
198510,225145
198610,206456
198710,216333
198810,225243
198910,222039
199010,223431
199110,220688
199210,232295
199310,222359
199410,221068
199510,226320
199610,208981
199710,215225
199810,200305
199910,225207
200010,223788
200110,234985
200210,215784
200310,221076
200410,239608
200510,229473
200610,223007
200710,207484
200810,229210
200910,212540
201010,211718
201110,214446
201210,220624
201310,216639
201410,223909
201510,228072
201610,221461
201710,219419
201810,191090
201910,226473
202010,227163
202110,229871
202210,223248
202310,229716
202410,234001
202510,236659
202610,207562
202710,222249
202810,215480
202910,237020
203010,198232
203110,235068
203210,221756
203310,244617
203410,238795
203510,257033
203610,215042
203710,228494
203810,208381
203910,221787
204010,220447
204110,221020
204210,239228
204310,213500
204410,237623
204510,239542
204610,221647
204710,224024
204810,236046
204910,229934
205010,238925
205110,259548
205210,228414
205310,229081
205410,259599
205510,253917
205610,234022
205710,230449
205810,244295
205910,232222
206010,231632
206110,250157
206210,237710
206310,225200
206410,219983
206510,265340
206610,240019
206710,239395
206810,230883
206910,236877
207010,225370
207110,238859
207210,237699
207310,236992
207410,231387
207510,220879
207610,244427
207710,232939
207810,236260
207910,235523
208010,236822
208110,227727
208210,220408
208310,242470
208410,238380
208510,239811
208610,225495
208710,239878
208810,231133
208910,247433
209010,235807
209110,234487
209210,230149
209310,239136
209410,232348
209510,240373
209610,237998
209710,241246
209810,227326
209910,242506
210010,234484
210110,229215
210210,232437
210310,233318
210410,249572
210510,222484
210610,245564
210710,231295
210810,239707
210910,261750
211010,232729
211110,243237
211210,242915
211310,230097
211410,224231
211510,244151
211610,229640
211710,235214
211810,241935
211910,245957
212010,268088
212110,230564
212210,247919
212310,240692
212410,241284
212510,251919
212610,244511
212710,259038
212810,233581
212910,224580
213010,223473
213110,238098
213210,230549
213310,221342
213410,238171
213510,228055
213610,262782
213710,205319
213810,238760
213910,226466
214010,224481
214110,242431
214210,229232
214310,246982
214410,225561
214510,246771
214610,218003
214710,196981
214810,235349
214910,205777
215010,200556
215110,213539
215210,205116
215310,207343
215410,208000
215510,216589
215610,220750
215710,207516
215810,218775
215910,212822
216010,206388
216110,212182
216210,217154
216310,209800
216410,211188
216510,223720
216610,207065
216710,212004
216810,207372
216910,211026
217010,226044
217110,213218
217210,213944
217310,207858
217410,200117
217510,207331
217610,207208
217710,202831
217810,213572
217910,208900
218010,226806
218110,207536
218210,215217
218310,207663
218410,217480
218510,212945
218610,211548
218710,212825
218810,208319
218910,210748
219010,215279
219110,209532
219210,205544
219310,209690
219410,212813
219510,200826
219610,212499
219710,205485
219810,210235
219910,222190
220010,212608
220110,200613
220210,225428
220310,242084
220410,216522
220510,221595
220610,205510
220710,207764
220810,224956
220910,217258
221010,221837
221110,215298
221210,203219
221310,212022
221410,222111
221510,215561
221610,223439
221710,247609
221810,210910
221910,209958
222010,213594
222110,207987
222210,208198
222310,218862
222410,215914
222510,207708
222610,215702
222710,196349
222810,230506
222910,208625
223010,230121
223110,242160
223210,226654
223310,235832
223410,249083
223510,203897
223610,230396
223710,222798
223810,222586
223910,215116
224010,217186
224110,225862
224210,213114
224310,214505
224410,211284
224510,231260
224610,222378
224710,213850
224810,218473
224910,228607
225010,216293
225110,224221
225210,215050
225310,217014
225410,216358
225510,220061
225610,208040
225710,243911
225810,217686
225910,241399
226010,213150
226110,229662
226210,242486
226310,215948
226410,213739
226510,216759
226610,227591
226710,217044
226810,224125
226910,220385
227010,211800
227110,233288
227210,213956
227310,214091
227410,213666
227510,222935
227610,231646
227710,212863
227810,228538
227910,263561
228010,222483
228110,250659
228210,230699
228310,242466
228410,217356
228510,229660
228610,216684
228710,235058
228810,218244
228910,210411
229010,222422
229110,218886
229210,228909
229310,224713
229410,226867
229510,227996
229610,228081
229710,233227
229810,228317
229910,226480
230010,234315
230110,215051
230210,217880
230310,210816
230410,233782
230510,230815
230610,225457
230710,246361
230810,254325
230910,222234
231010,203724
231110,233478
231210,217431
231310,211986
231410,228132
231510,216388
231610,212486
231710,236767
231810,228610
231910,242215
232010,211565
232110,243152
232210,256275
232310,225981
232410,220075
232510,226853
232610,254602
232710,234237
